Thread ID: 17116160
Total: 0.069990

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003db4518(HammerBuilder::Formated.dc[:Hr])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002f57650(HammerBuilder::Formated.dc[:Tfoot])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000034a58a0(HammerBuilder::Formated.dc[:Dfn])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000317a7e8(HammerBuilder::Formated.dc[:Bdo])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000365dcb0(HammerBuilder::Formated.dc[:Map])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000263cbb0(HammerBuilder::Formated.dc[:Optgroup])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000034d30e8(HammerBuilder::Formated.dc[:Header])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000035571b8(HammerBuilder::Formated.dc[:Colgroup])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000393a780(HammerBuilder::Formated.dc[:Legend])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000381c740(HammerBuilder::Formated.dc[:H6])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003bedf90(HammerBuilder::Formated.dc[:U])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000031f4fe8(HammerBuilder::Formated.dc[:Tr])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002ed2f18(HammerBuilder::Formated.dc[:Dl])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000034c47c8(HammerBuilder::Formated.dc[:Button])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x000000033d4750(HammerBuilder::Formated.dc[:H3])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003e2d4e0(HammerBuilder::Formated.dc[:Br])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003da7688(HammerBuilder::Formated.dc[:Img])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003660168(HammerBuilder::Formated.dc[:Del])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000002f58b40(HammerBuilder::Formated.dc[:Article])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003d97ff8(HammerBuilder::Formated.dc[:Param])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000379cef0(HammerBuilder::Formated.dc[:Iframe])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x0000000339ac08(HammerBuilder::Formated.dc[:Figure])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003210298(HammerBuilder::Formated.dc[:Hgroup])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003db28d0(HammerBuilder::Formated.dc[:Meta])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003296f00(HammerBuilder::Formated.dc[:Div])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  #<Class:0x00000003d96a68(HammerBuilder::Formated.dc[:Area])>#set_tag
  0.00      0.00     0.00     0.00     0.00        1  <Class::HammerBuilder::Abstract>#tags


